time	V(n004)
0.000000000000000e+000	2.911405e+001
2.392578125000002e-004	5.100440e+001
4.785156250000004e-004	7.198036e+001
7.177734375000005e-004	9.204192e+001
9.570312500000007e-004	1.111891e+002
1.196289062500001e-003	1.294218e+002
1.435546875000001e-003	1.467402e+002
1.674804687500001e-003	1.631442e+002
1.679385710646792e-003	1.634527e+002
1.681928485577734e-003	1.636238e+002
1.683424309192712e-003	1.637244e+002
1.685553363362858e-003	1.638676e+002
1.686706476425096e-003	1.639451e+002
1.688576100444622e-003	1.640707e+002
1.690818079968545e-003	1.642213e+002
1.693309399354484e-003	1.643886e+002
1.698292038126365e-003	1.647229e+002
2.143411085645120e-003	1.928268e+002
2.588530133163874e-003	2.189669e+002
3.033649180682629e-003	2.431432e+002
3.478768228201383e-003	2.653556e+002
3.923887275720139e-003	2.856042e+002
4.369006323238893e-003	3.038889e+002
4.814125370757647e-003	3.202097e+002
5.271714656471931e-003	3.356709e+002
5.729303942186216e-003	3.500282e+002
6.186893227900500e-003	3.632817e+002
6.644482513614785e-003	3.754313e+002
7.102071799329070e-003	3.864771e+002
7.559661085043355e-003	3.964191e+002
8.017250370757638e-003	4.052572e+002
8.474839656471915e-003	4.134047e+002
8.932428942186191e-003	4.209704e+002
9.390018227900466e-003	4.279545e+002
9.847607513614742e-003	4.343569e+002
1.030519679932902e-002	4.401776e+002
1.076278608504330e-002	4.454167e+002
1.122037537075757e-002	4.500741e+002
1.167796465647185e-002	4.543675e+002
1.213555394218612e-002	4.583543e+002
1.259314322790040e-002	4.620347e+002
1.305073251361467e-002	4.654085e+002
1.350832179932895e-002	4.684758e+002
1.396591108504323e-002	4.712366e+002
1.442350037075750e-002	4.736909e+002
1.488108965647178e-002	4.759534e+002
1.533867894218605e-002	4.780543e+002
1.579626822790033e-002	4.799937e+002
1.625385751361461e-002	4.817716e+002
1.671144679932888e-002	4.833879e+002
1.716903608504316e-002	4.848428e+002
1.762662537075743e-002	4.861361e+002
1.808421465647171e-002	4.873283e+002
1.854180394218599e-002	4.884354e+002
1.899939322790026e-002	4.894574e+002
1.945698251361454e-002	4.903943e+002
1.991457179932881e-002	4.912461e+002
2.037216108504309e-002	4.920127e+002
2.082975037075736e-002	4.926942e+002
2.129292001361450e-002	4.933296e+002
2.175608965647163e-002	4.939191e+002
2.221925929932876e-002	4.944629e+002
2.268242894218590e-002	4.949609e+002
2.314559858504303e-002	4.954131e+002
2.360876822790016e-002	4.958195e+002
2.407193787075729e-002	4.961801e+002
2.454068787075728e-002	4.965160e+002
2.500943787075727e-002	4.968274e+002
2.547818787075726e-002	4.971145e+002
2.594693787075725e-002	4.973771e+002
2.641568787075724e-002	4.976152e+002
2.688443787075723e-002	4.978289e+002
2.735318787075722e-002	4.980182e+002
2.783309858504293e-002	4.981963e+002
2.831300929932863e-002	4.983612e+002
2.879292001361434e-002	4.985129e+002
2.927283072790004e-002	4.986514e+002
2.975274144218575e-002	4.987768e+002
3.023265215647145e-002	4.988889e+002
3.071256287075715e-002	4.989878e+002
3.121479501361428e-002	4.990826e+002
3.171702715647141e-002	4.991702e+002
3.221925929932855e-002	4.992505e+002
3.272149144218568e-002	4.993235e+002
3.322372358504282e-002	4.993892e+002
3.372595572789994e-002	4.994477e+002
3.422818787075708e-002	4.994989e+002
3.476948251361421e-002	4.995492e+002
3.531077715647134e-002	4.995954e+002
3.585207179932847e-002	4.996375e+002
3.639336644218560e-002	4.996755e+002
3.693466108504274e-002	4.997095e+002
3.747595572789986e-002	4.997394e+002
3.801725037075700e-002	4.997652e+002
3.821256287075699e-002	4.997741e+002
3.840787537075699e-002	4.997828e+002
3.860318787075698e-002	4.997911e+002
3.879850037075698e-002	4.997991e+002
3.899381287075698e-002	4.998069e+002
3.918912537075697e-002	4.998143e+002
3.938443787075697e-002	4.998214e+002
3.942350037075697e-002	4.998227e+002
3.969693787075696e-002	4.998322e+002
3.970000000000000e-002	4.998323e+002
